ID: 205; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 719; Comp. Time(ms): 26795;TAT (ms): 26076
ID: 373; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 720; Comp. Time(ms): 26811;TAT (ms): 26091
ID: 923; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 294; Comp. Time(ms): 26950;TAT (ms): 26656
ID: 983; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 858; Comp. Time(ms): 27131;TAT (ms): 26273
ID: 812; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 337; Comp. Time(ms): 27144;TAT (ms): 26807
ID: 528; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 348; Comp. Time(ms): 27166;TAT (ms): 26818
ID: 466; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 933; Comp. Time(ms): 27243;TAT (ms): 26310
ID: 920; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 366; Comp. Time(ms): 27367;TAT (ms): 27001
ID: 935; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 387; Comp. Time(ms): 27552;TAT (ms): 27165
ID: 227; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1195; Comp. Time(ms): 27758;TAT (ms): 26563
ID: 599; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 421; Comp. Time(ms): 27817;TAT (ms): 27396
ID: 614; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1368; Comp. Time(ms): 28175;TAT (ms): 26807
ID: 950; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 466; Comp. Time(ms): 28263;TAT (ms): 27797
ID: 617; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1473; Comp. Time(ms): 28350;TAT (ms): 26877
ID: 111; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1540; Comp. Time(ms): 28496;TAT (ms): 26956
ID: 865; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 225; Comp. Time(ms): 28572;TAT (ms): 28347
ID: 900; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1644; Comp. Time(ms): 28677;TAT (ms): 27033
ID: 285; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1689; Comp. Time(ms): 28774;TAT (ms): 27085
ID: 332; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1757; Comp. Time(ms): 28853;TAT (ms): 27096
ID: 268; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1819; Comp. Time(ms): 29022;TAT (ms): 27203
ID: 631; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1855; Comp. Time(ms): 29174;TAT (ms): 27319
ID: 521; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 587; Comp. Time(ms): 29175;TAT (ms): 28588
ID: 226; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 593; Comp. Time(ms): 29244;TAT (ms): 28651
ID: 407; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 708; Comp. Time(ms): 29536;TAT (ms): 28828
ID: 702; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 721; Comp. Time(ms): 29588;TAT (ms): 28867
ID: 749; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 769; Comp. Time(ms): 29662;TAT (ms): 28893
ID: 379; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 772; Comp. Time(ms): 29693;TAT (ms): 28921
ID: 145; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 854; Comp. Time(ms): 29804;TAT (ms): 28950
ID: 215; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1065; Comp. Time(ms): 30100;TAT (ms): 29035
ID: 856; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1123; Comp. Time(ms): 30233;TAT (ms): 29110
ID: 717; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 412; Comp. Time(ms): 30235;TAT (ms): 29823
ID: 661; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1141; Comp. Time(ms): 30268;TAT (ms): 29127
ID: 456; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 413; Comp. Time(ms): 30280;TAT (ms): 29867
ID: 959; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1283; Comp. Time(ms): 30528;TAT (ms): 29245
ID: 714; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1400; Comp. Time(ms): 30748;TAT (ms): 29348
ID: 32; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 480; Comp. Time(ms): 30882;TAT (ms): 30402
ID: 342; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1561; Comp. Time(ms): 31054;TAT (ms): 29493
ID: 500; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1639; Comp. Time(ms): 31152;TAT (ms): 29513
ID: 796; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1664; Comp. Time(ms): 31180;TAT (ms): 29516
ID: 325; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1762; Comp. Time(ms): 31310;TAT (ms): 29548
ID: 605; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 269; Comp. Time(ms): 31663;TAT (ms): 31394
ID: 150; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 605; Comp. Time(ms): 31689;TAT (ms): 31084
ID: 705; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1957; Comp. Time(ms): 31743;TAT (ms): 29786
ID: 185; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1967; Comp. Time(ms): 31763;TAT (ms): 29796
ID: 416; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 924; Comp. Time(ms): 32169;TAT (ms): 31245
ID: 394; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1027; Comp. Time(ms): 32295;TAT (ms): 31268
ID: 515; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1054; Comp. Time(ms): 32346;TAT (ms): 31292
ID: 523; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1120; Comp. Time(ms): 32454;TAT (ms): 31334
ID: 586; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1233; Comp. Time(ms): 32576;TAT (ms): 31343
ID: 655; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 429; Comp. Time(ms): 32603;TAT (ms): 32174
ID: 135; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 433; Comp. Time(ms): 32655;TAT (ms): 32222
ID: 721; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1300; Comp. Time(ms): 32746;TAT (ms): 31446
ID: 64; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1595; Comp. Time(ms): 33166;TAT (ms): 31571
ID: 229; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 549; Comp. Time(ms): 33373;TAT (ms): 32824
ID: 686; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1823; Comp. Time(ms): 33492;TAT (ms): 31669
ID: 247; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1853; Comp. Time(ms): 33578;TAT (ms): 31725
ID: 74; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 770; Comp. Time(ms): 33967;TAT (ms): 33197
ID: 525; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 321; Comp. Time(ms): 34006;TAT (ms): 33685
ID: 917; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 853; Comp. Time(ms): 34065;TAT (ms): 33212
ID: 45; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 936; Comp. Time(ms): 34144;TAT (ms): 33208
ID: 108; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1005; Comp. Time(ms): 34236;TAT (ms): 33231
ID: 933; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1053; Comp. Time(ms): 34271;TAT (ms): 33218
ID: 613; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1076; Comp. Time(ms): 34333;TAT (ms): 33257
ID: 735; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1178; Comp. Time(ms): 34400;TAT (ms): 33222
ID: 419; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 188; Comp. Time(ms): 34405;TAT (ms): 34217
ID: 674; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1430; Comp. Time(ms): 34773;TAT (ms): 33343
ID: 219; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 480; Comp. Time(ms): 34855;TAT (ms): 34375
ID: 340; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1544; Comp. Time(ms): 34919;TAT (ms): 33375
ID: 165; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 684; Comp. Time(ms): 35582;TAT (ms): 34898
ID: 905; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 793; Comp. Time(ms): 35684;TAT (ms): 34891
ID: 776; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 832; Comp. Time(ms): 35719;TAT (ms): 34887
ID: 299; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 907; Comp. Time(ms): 35756;TAT (ms): 34849
ID: 323; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 947; Comp. Time(ms): 35778;TAT (ms): 34831
ID: 898; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1066; Comp. Time(ms): 35897;TAT (ms): 34831
ID: 915; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1216; Comp. Time(ms): 36007;TAT (ms): 34791
ID: 350; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1236; Comp. Time(ms): 36011;TAT (ms): 34775
ID: 701; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1254; Comp. Time(ms): 36039;TAT (ms): 34785
ID: 952; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 448; Comp. Time(ms): 36192;TAT (ms): 35744
ID: 278; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1403; Comp. Time(ms): 36252;TAT (ms): 34849
ID: 246; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1451; Comp. Time(ms): 36297;TAT (ms): 34846
ID: 694; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 514; Comp. Time(ms): 36484;TAT (ms): 35970
ID: 842; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 521; Comp. Time(ms): 36511;TAT (ms): 35990
ID: 279; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1744; Comp. Time(ms): 36586;TAT (ms): 34842
ID: 112; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1813; Comp. Time(ms): 36661;TAT (ms): 34848
ID: 925; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1817; Comp. Time(ms): 36680;TAT (ms): 34863
ID: 388; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1887; Comp. Time(ms): 36817;TAT (ms): 34930
ID: 875; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1890; Comp. Time(ms): 36847;TAT (ms): 34957
ID: 476; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1927; Comp. Time(ms): 36880;TAT (ms): 34953
ID: 409; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 606; Comp. Time(ms): 36902;TAT (ms): 36296
ID: 604; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 270; Comp. Time(ms): 36950;TAT (ms): 36680
ID: 231; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 145; Comp. Time(ms): 36992;TAT (ms): 36847
ID: 453; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 758; Comp. Time(ms): 37059;TAT (ms): 36301
ID: 729; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 960; Comp. Time(ms): 37124;TAT (ms): 36164
ID: 442; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 999; Comp. Time(ms): 37125;TAT (ms): 36126
ID: 221; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1065; Comp. Time(ms): 37170;TAT (ms): 36105
ID: 837; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1091; Comp. Time(ms): 37202;TAT (ms): 36111
ID: 991; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1195; Comp. Time(ms): 37252;TAT (ms): 36057
ID: 839; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1277; Comp. Time(ms): 37280;TAT (ms): 36003
ID: 495; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1288; Comp. Time(ms): 37299;TAT (ms): 36011
ID: 770; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 40; Comp. Time(ms): 37302;TAT (ms): 37262
ID: 124; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1336; Comp. Time(ms): 37357;TAT (ms): 36021
ID: 651; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1430; Comp. Time(ms): 37454;TAT (ms): 36024
ID: 733; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1458; Comp. Time(ms): 37458;TAT (ms): 36000
ID: 56; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1525; Comp. Time(ms): 37510;TAT (ms): 35985
ID: 40; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1600; Comp. Time(ms): 37585;TAT (ms): 35985
ID: 77; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 522; Comp. Time(ms): 37626;TAT (ms): 37104
